"estudiante_dni","estudiante_name","batch_id"
DNI       1,Estudiante 1,batch_20250928
DNI       2,Estudiante 2,batch_20250928
DNI       3,Estudiante 3,batch_20250928
DNI       4,Estudiante 4,batch_20250928
DNI       5,Estudiante 5,batch_20250928
DNI       6,Estudiante 6,batch_20250928
DNI       7,Estudiante 7,batch_20250928
DNI       8,Estudiante 8,batch_20250928
DNI       9,Estudiante 9,batch_20250928
DNI      10,Estudiante 10,batch_20250928
DNI      11,Estudiante 11,batch_20250928
DNI      12,Estudiante 12,batch_20250928
DNI      13,Estudiante 13,batch_20250928
DNI      14,Estudiante 14,batch_20250928
DNI      15,Estudiante 15,batch_20250928
DNI      16,Estudiante 16,batch_20250928
DNI      17,Estudiante 17,batch_20250928
DNI      18,Estudiante 18,batch_20250928
DNI      19,Estudiante 19,batch_20250928
DNI      20,Estudiante 20,batch_20250928
DNI      21,Estudiante 21,batch_20250928
DNI      22,Estudiante 22,batch_20250928
DNI      23,Estudiante 23,batch_20250928
DNI      24,Estudiante 24,batch_20250928
DNI      25,Estudiante 25,batch_20250928
DNI      26,Estudiante 26,batch_20250928
DNI      27,Estudiante 27,batch_20250928
DNI      28,Estudiante 28,batch_20250928
DNI      29,Estudiante 29,batch_20250928
DNI      30,Estudiante 30,batch_20250928
DNI      31,Estudiante 31,batch_20250928
DNI      32,Estudiante 32,batch_20250928
DNI      33,Estudiante 33,batch_20250928
DNI      34,Estudiante 34,batch_20250928
DNI      35,Estudiante 35,batch_20250928
DNI      36,Estudiante 36,batch_20250928
DNI      37,Estudiante 37,batch_20250928
DNI      38,Estudiante 38,batch_20250928
DNI      39,Estudiante 39,batch_20250928
DNI      40,Estudiante 40,batch_20250928
DNI      41,Estudiante 41,batch_20250928
DNI      42,Estudiante 42,batch_20250928
DNI      43,Estudiante 43,batch_20250928
DNI      44,Estudiante 44,batch_20250928
DNI      45,Estudiante 45,batch_20250928
DNI      46,Estudiante 46,batch_20250928
DNI      47,Estudiante 47,batch_20250928
DNI      48,Estudiante 48,batch_20250928
DNI      49,Estudiante 49,batch_20250928
DNI      50,Estudiante 50,batch_20250928
DNI      51,Estudiante 51,batch_20250928
DNI      52,Estudiante 52,batch_20250928
DNI      53,Estudiante 53,batch_20250928
